9000001,sde,software,data analyst,200000,pune,amazon,pune,we are amazon,
9000002,PM,hardware,product manager,200000,mumbai,google,nagpur,we are google,
9000003,AI,software,data scientist,250000,bangalore,meta,mumbai,changing the universe,
9000004,Cloud,software,cloud engineer,220000,hyderabad,oracle,delhi,technology focused,
9000005,DevOps,software,devops engineer,230000,chennai,microsoft,bangalore,microSoft,
9000006,QA,software,quality analyst,190000,noida,ibm,jaipur,developing world,
9000007,ML,software,machine learning engineer,270000,pune,infosys,chennai,We hire Experts,
9000008,UX,design,UX designer,210000,mumbai,google,indore,we are google,
9000009,FE,software,front-end developer,200000,kolkata,flipkart,bangalore,Delivering happiness,
9000010,BE,software,back-end developer,230000,ahmedabad,sap,pune,Streamlining enterprises,
9000011,SE,software,software engineer,250000,delhi,tcs,hyderabad,Innovating for a better tomorrow,
9000012,Data,software,data engineer,240000,bangalore,accenture,mumbai,Positive atmosphere,
9000013,AI,software,AI specialist,270000,pune,meta,delhi,changing the universe,
9000014,PM,hardware,project manager,280000,noida,hcl,lucknow,Technology-driven solutions,
9000015,DevOps,software,platform engineer,230000,chennai,adobe,mumbai,Creativity at its core,
9000016,FE,software,UI developer,200000,jaipur,zoho,ahmedabad,Software that simplifies,
9000017,Cloud,software,cloud architect,270000,pune,aws,noida,Scalable cloud solutions,
9000018,QA,software,automation tester,190000,delhi,linkedin,bangalore,Connecting professionals,
9000019,AI,software,AI researcher,300000,mumbai,google,kolkata,we are google,
9000020,Data,software,BI analyst,210000,chandigarh,wipro,indore,Empowering businesses,
9000021,SE,software,embedded engineer,240000,hyderabad,qualcomm,pune,Processors is all we’ve got,
9000022,UX,design,product designer,230000,pune,cognizant,mumbai,Transforming through technology,
9000023,Cloud,software,cloud consultant,250000,bangalore,accenture,noida,Positive atmosphere,
9000024,AI,software,AI developer,270000,hyderabad,meta,mumbai,changing the universe,
9000025,PM,hardware,program manager,290000,chennai,google,pune,we are google,
9000026,FE,software,front-end engineer,210000,noida,microsoft,jaipur,microSoft,
9000027,BE,software,back-end engineer,240000,pune,oracle,kolkata,technology focused,
9000028,Data,software,data analyst,200000,delhi,tcs,bangalore,Innovating for a better tomorrow,
9000029,DevOps,software,release manager,250000,mumbai,wipro,chennai,Empowering businesses,
9000030,UX,design,UX researcher,230000,bangalore,infosys,ahmedabad,We hire Experts,
9000031,Cloud,software,cloud systems analyst,270000,chennai,aws,pune,Scalable cloud solutions,
9000032,QA,software,manual tester,190000,pune,zoho,bangalore,Software that simplifies,
9000033,ML,software,ML engineer,260000,mumbai,flipkart,indore,Delivering happiness,
9000034,SE,software,software architect,280000,noida,sap,kolkata,Streamlining enterprises,
9000035,Data,software,ETL developer,220000,delhi,hcl,lucknow,Technology-driven solutions,
9000036,AI,software,AI strategist,300000,jaipur,linkedin,mumbai,Connecting professionals,
9000037,BE,software,full-stack developer,240000,chennai,cognizant,delhi,Transforming through technology,
9000038,PM,hardware,IT project manager,290000,bangalore,ibm,chandigarh,developing world,
9000039,Cloud,software,cloud support engineer,220000,mumbai,adobe,jaipur,Creativity at its core,
9000040,UX,design,interaction designer,240000,hyderabad,qualcomm,pune,Processors is all we’ve got,
9000041,QA,software,test automation engineer,200000,pune,wipro,kolkata,Empowering businesses,
9000042,DevOps,software,build engineer,250000,bangalore,tcs,mumbai,Innovating for a better tomorrow.
